db_id|question|generated_sql_query|gold_sql_query
concert_singer|How many singers do we have?|select count(*) from singer;|select count(*) from singer
concert_singer|What is the total number of singers?|select count(*) from singer;|select count(*) from singer
concert_singer|Show name, country, age for all singers ordered by age from the oldest to the youngest.|select name, country, age from singer order by age desc;|select name , country , age from singer order by age desc
concert_singer|What are the names, countries, and ages for every singer in descending order of age?|select name, country, age from singer order by age desc;|select name , country , age from singer order by age desc
concert_singer|What is the average, minimum, and maximum age of all singers from France?|select avg(age) as averageage, min(age) as minimumage, max(age) as maximumage from singer where country = 'france';|select avg(age) , min(age) , max(age) from singer where country = 'france'
concert_singer|What is the average, minimum, and maximum age for all French singers?|select avg(age) as average_age, min(age) as minimum_age, max(age) as maximum_age from singer where country = 'france';|select avg(age) , min(age) , max(age) from singer where country = 'france'
concert_singer|Show the name and the release year of the song by the youngest singer.|select s.name, s.song_release_year from singer as s where s.age = (select min(age) from singer);|select song_name , song_release_year from singer order by age limit 1
concert_singer|What are the names and release years for all the songs of the youngest singer?|select song_name, song_release_year from singer where age = (select min(age) from singer);|select song_name , song_release_year from singer order by age limit 1
concert_singer|What are all distinct countries where singers above age 20 are from?|select distinct country from singer where age > 20;|select distinct country from singer where age > 20
concert_singer|What are  the different countries with singers above age 20?|select distinct country from singer where age > 20;|select distinct country from singer where age > 20
concert_singer|Show all countries and the number of singers in each country.|select country, count(*) as number_of_singers from singer group by country;|select country , count(*) from singer group by country
concert_singer|How many singers are from each country?|select country, count(*) as number_of_singers from singer group by country;|select country , count(*) from singer group by country
concert_singer|List all song names by singers above the average age.|select t2.song_name from singer as t1 inner join singer_in_concert as t3 on t1.singer_id = t3.singer_id inner join concert as t4 on t3.concert_id = t4.concert_id inner join stadium as t5 on t4.stadium_id = t5.stadium_id inner join singer as t2 on t1.singer_id = t2.singer_id where t1.age > ( select avg(age) from singer );|select song_name from singer where age > (select avg(age) from singer)
concert_singer|What are all the song names by singers who are older than average?|select t2.song_name from singer as t1 inner join singer_in_concert as t3 on t1.singer_id = t3.singer_id inner join concert as t4 on t3.concert_id = t4.concert_id inner join stadium as t5 on t4.stadium_id = t5.stadium_id inner join singer as t2 on t1.singer_id = t2.singer_id where t1.age > ( select avg(age) from singer );|select song_name from singer where age > (select avg(age) from singer)
concert_singer|Show location and name for all stadiums with a capacity between 5000 and 10000.|select location, name from stadium where capacity between 5000 and 10000;|select location , name from stadium where capacity between 5000 and 10000
concert_singer|What are the locations and names of all stations with capacity between 5000 and 10000?|select location, name from stadium where capacity between 5000 and 10000;|select location , name from stadium where capacity between 5000 and 10000
